school,course_id,keyword,count
appalachian_state_university,appalachian_state_university__0,resource management,1
appalachian_state_university,appalachian_state_university__1,resource management,1
appalachian_state_university,appalachian_state_university__2,resource management,1
appalachian_state_university,appalachian_state_university__3,resource management,1
appalachian_state_university,appalachian_state_university__4,resource management,1
appalachian_state_university,appalachian_state_university__5,control systems,1
appalachian_state_university,appalachian_state_university__6,syngas,1
appalachian_state_university,appalachian_state_university__6,life cycle assessment,1
appalachian_state_university,appalachian_state_university__7,renewable energy,2
appalachian_state_university,appalachian_state_university__7,project development,1
appalachian_state_university,appalachian_state_university__8,renewable energy,1
appalachian_state_university,appalachian_state_university__8,clean energy,1
appalachian_state_university,appalachian_state_university__8,energy policy,3
appalachian_state_university,appalachian_state_university__8,energy market,1
appalachian_state_university,appalachian_state_university__9,renewable energy,2
appalachian_state_university,appalachian_state_university__10,renewable energy,2
appalachian_state_university,appalachian_state_university__11,water quality,2
appalachian_state_university,appalachian_state_university__12,resource management,2
appalachian_state_university,appalachian_state_university__13,hydrogen,1
appalachian_state_university,appalachian_state_university__14,renewable energy,1
appalachian_state_university,appalachian_state_university__15,sustainability,1
appalachian_state_university,appalachian_state_university__16,sustainability,1
appalachian_state_university,appalachian_state_university__17,environmental protection,1
appalachian_state_university,appalachian_state_university__18,sustainability,2
appalachian_state_university,appalachian_state_university__19,sustainability,2
appalachian_state_university,appalachian_state_university__20,greenhouse gas emissions,1
appalachian_state_university,appalachian_state_university__21,sustainability,1
appalachian_state_university,appalachian_state_university__22,sustainability,1
appalachian_state_university,appalachian_state_university__23,sustainability,1
appalachian_state_university,appalachian_state_university__24,sustainability,1
appalachian_state_university,appalachian_state_university__25,process control,1
appalachian_state_university,appalachian_state_university__25,quality assurance,1
appalachian_state_university,appalachian_state_university__26,environmental regulation,3
appalachian_state_university,appalachian_state_university__27,sustainability,1
appalachian_state_university,appalachian_state_university__28,geographic information systems,1
appalachian_state_university,appalachian_state_university__29,geographic information systems,2
appalachian_state_university,appalachian_state_university__30,sustainability,1
appalachian_state_university,appalachian_state_university__31,geographic information systems,1
appalachian_state_university,appalachian_state_university__32,sustainability,1
appalachian_state_university,appalachian_state_university__33,sustainability,1
appalachian_state_university,appalachian_state_university__34,sustainability,2
appalachian_state_university,appalachian_state_university__35,control systems,1
appalachian_state_university,appalachian_state_university__36,welding,4
appalachian_state_university,appalachian_state_university__37,sustainability,1
appalachian_state_university,appalachian_state_university__38,sustainability,1
appalachian_state_university,appalachian_state_university__39,sustainability,1
appalachian_state_university,appalachian_state_university__40,automation,1
appalachian_state_university,appalachian_state_university__41,resource management,3
appalachian_state_university,appalachian_state_university__42,sustainability,1
appalachian_state_university,appalachian_state_university__43,resource management,1
appalachian_state_university,appalachian_state_university__44,resource management,2
appalachian_state_university,appalachian_state_university__45,resource management,1
appalachian_state_university,appalachian_state_university__46,sustainability,1
appalachian_state_university,appalachian_state_university__47,sustainability,2
appalachian_state_university,appalachian_state_university__48,resource management,4
appalachian_state_university,appalachian_state_university__49,process control,1
appalachian_state_university,appalachian_state_university__50,project management,1
appalachian_state_university,appalachian_state_university__51,sustainability,1
appalachian_state_university,appalachian_state_university__52,project management,1
appalachian_state_university,appalachian_state_university__53,sustainability,1
appalachian_state_university,appalachian_state_university__54,sustainability,1
appalachian_state_university,appalachian_state_university__55,material selection,1
appalachian_state_university,appalachian_state_university__56,welding,1
appalachian_state_university,appalachian_state_university__57,sustainability,2
appalachian_state_university,appalachian_state_university__58,sustainability,1
appalachian_state_university,appalachian_state_university__59,resource management,1
appalachian_state_university,appalachian_state_university__60,construction management,1
appalachian_state_university,appalachian_state_university__61,material selection,1
appalachian_state_university,appalachian_state_university__62,construction management,1
appalachian_state_university,appalachian_state_university__63,construction management,1
appalachian_state_university,appalachian_state_university__63,project management,1
appalachian_state_university,appalachian_state_university__64,corrosion,1
appalachian_state_university,appalachian_state_university__65,construction management,1
appalachian_state_university,appalachian_state_university__65,project management,1
appalachian_state_university,appalachian_state_university__66,resource management,1
appalachian_state_university,appalachian_state_university__67,risk assessment,1
appalachian_state_university,appalachian_state_university__68,environmental protection,1
appalachian_state_university,appalachian_state_university__69,geographic information systems,1
appalachian_state_university,appalachian_state_university__70,resource management,1
appalachian_state_university,appalachian_state_university__71,sustainability,3
appalachian_state_university,appalachian_state_university__72,risk assessment,1
appalachian_state_university,appalachian_state_university__73,automation,1
appalachian_state_university,appalachian_state_university__74,environmental protection,2
appalachian_state_university,appalachian_state_university__75,heat transfer,1
appalachian_state_university,appalachian_state_university__76,sustainability,1
appalachian_state_university,appalachian_state_university__77,renewable energy,1
appalachian_state_university,appalachian_state_university__78,project development,1
appalachian_state_university,appalachian_state_university__79,project management,1
appalachian_state_university,appalachian_state_university__80,project development,1
appalachian_state_university,appalachian_state_university__81,automation,1
appalachian_state_university,appalachian_state_university__82,project management,1
appalachian_state_university,appalachian_state_university__82,quality assurance,1
appalachian_state_university,appalachian_state_university__83,project management,1
appalachian_state_university,appalachian_state_university__84,project management,3
appalachian_state_university,appalachian_state_university__84,resource management,1
appalachian_state_university,appalachian_state_university__85,renewable energy,1
appalachian_state_university,appalachian_state_university__86,electrochemical,1
appalachian_state_university,appalachian_state_university__87,electrochemistry,1
appalachian_state_university,appalachian_state_university__88,control systems,1
appalachian_state_university,appalachian_state_university__89,process control,1
appalachian_state_university,appalachian_state_university__89,quality assurance,1
appalachian_state_university,appalachian_state_university__90,biofuels,1
appalachian_state_university,appalachian_state_university__91,resource management,1
appalachian_state_university,appalachian_state_university__92,quality assurance,1
appalachian_state_university,appalachian_state_university__93,sustainability,2
appalachian_state_university,appalachian_state_university__94,esg,1
appalachian_state_university,appalachian_state_university__95,sustainability,5
appalachian_state_university,appalachian_state_university__95,resource management,1
california_institute_of_technology,california_institute_of_technology__0,control systems,2
california_institute_of_technology,california_institute_of_technology__1,heat transfer,1
california_institute_of_technology,california_institute_of_technology__2,combustion,3
california_institute_of_technology,california_institute_of_technology__3,fracture analysis,1
california_institute_of_technology,california_institute_of_technology__4,combustion,1
california_institute_of_technology,california_institute_of_technology__5,sustainability,1
california_institute_of_technology,california_institute_of_technology__6,pipeline,1
california_institute_of_technology,california_institute_of_technology__6,risk assessment,1
california_institute_of_technology,california_institute_of_technology__7,materials science,2
california_institute_of_technology,california_institute_of_technology__8,materials science,1
california_institute_of_technology,california_institute_of_technology__9,materials science,2
california_institute_of_technology,california_institute_of_technology__10,materials science,1
california_institute_of_technology,california_institute_of_technology__11,materials science,1
california_institute_of_technology,california_institute_of_technology__12,materials science,1
california_institute_of_technology,california_institute_of_technology__12,electrochemistry,1
california_institute_of_technology,california_institute_of_technology__13,materials science,1
california_institute_of_technology,california_institute_of_technology__14,materials science,1
california_institute_of_technology,california_institute_of_technology__15,materials science,1
california_institute_of_technology,california_institute_of_technology__16,materials science,2
california_institute_of_technology,california_institute_of_technology__17,fracture analysis,1
california_institute_of_technology,california_institute_of_technology__18,materials science,1
california_institute_of_technology,california_institute_of_technology__19,catalyst,1
california_institute_of_technology,california_institute_of_technology__20,esg,1
california_institute_of_technology,california_institute_of_technology__21,sustainability,2
california_institute_of_technology,california_institute_of_technology__22,hydrogen,1
california_institute_of_technology,california_institute_of_technology__23,cryogenic,1
california_institute_of_technology,california_institute_of_technology__24,combustion,1
california_institute_of_technology,california_institute_of_technology__24,heat transfer,1
california_institute_of_technology,california_institute_of_technology__25,systems engineering,2
california_institute_of_technology,california_institute_of_technology__26,heat transfer,1
california_institute_of_technology,california_institute_of_technology__27,combustion,3
california_institute_of_technology,california_institute_of_technology__28,heat transfer,1
california_institute_of_technology,california_institute_of_technology__29,materials science,1
california_institute_of_technology,california_institute_of_technology__30,fracture analysis,1
california_institute_of_technology,california_institute_of_technology__31,combustion,1
california_institute_of_technology,california_institute_of_technology__32,explosion,1
california_institute_of_technology,california_institute_of_technology__33,pipeline,1
california_institute_of_technology,california_institute_of_technology__34,heat transfer,1
california_institute_of_technology,california_institute_of_technology__35,heat transfer,1
california_institute_of_technology,california_institute_of_technology__36,sustainability,1
california_institute_of_technology,california_institute_of_technology__37,pipeline,2
california_institute_of_technology,california_institute_of_technology__38,catalyst,1
california_institute_of_technology,california_institute_of_technology__39,heat transfer,1
california_institute_of_technology,california_institute_of_technology__40,sustainability,1
california_institute_of_technology,california_institute_of_technology__41,catalysis,1
california_institute_of_technology,california_institute_of_technology__42,pipeline,1
california_institute_of_technology,california_institute_of_technology__42,risk assessment,1
california_institute_of_technology,california_institute_of_technology__43,sustainability,1
california_institute_of_technology,california_institute_of_technology__44,sustainability,2
california_institute_of_technology,california_institute_of_technology__45,sustainability,1
california_institute_of_technology,california_institute_of_technology__46,sustainability,1
california_institute_of_technology,california_institute_of_technology__47,control systems,2
california_institute_of_technology,california_institute_of_technology__48,control systems,1
california_institute_of_technology,california_institute_of_technology__48,automation,1
california_institute_of_technology,california_institute_of_technology__49,control systems,1
california_institute_of_technology,california_institute_of_technology__50,control systems,1
california_institute_of_technology,california_institute_of_technology__51,combustion,1
california_institute_of_technology,california_institute_of_technology__52,heat transfer,1
california_institute_of_technology,california_institute_of_technology__53,heat transfer,1
california_institute_of_technology,california_institute_of_technology__54,systems engineering,2
california_institute_of_technology,california_institute_of_technology__55,pipeline,2
california_institute_of_technology,california_institute_of_technology__56,chemical engineering,2
california_institute_of_technology,california_institute_of_technology__56,chemical synthesis,1
california_institute_of_technology,california_institute_of_technology__57,chemical engineering,2
california_institute_of_technology,california_institute_of_technology__58,chemical engineering,2
california_institute_of_technology,california_institute_of_technology__58,process simulation,1
california_institute_of_technology,california_institute_of_technology__59,chemical engineering,1
california_institute_of_technology,california_institute_of_technology__60,power generation,1
